Seleção,Títulos Simulado,P(Campeão) %
Espanha,7903,15.806000000000001
Brasil,6792,13.584
Alemanha,4248,8.495999999999999
Bélgica,3857,7.714
Marrocos,3663,7.3260000000000005
Países Baixos,3521,7.042
Suíça,2897,5.794
Uruguai,2740,5.48
México,2692,5.384
Equador,2325,4.65
Canadá,1894,3.788
Japão,1735,3.47
Estados Unidos,1486,2.972
Coreia do Sul,1021,2.0420000000000003
Turquia,811,1.6219999999999999
Egito,600,1.2
Paraguai,589,1.1780000000000002
Tchéquia,257,0.514
Costa do Marfim,219,0.438
Escócia,156,0.312
Suécia,154,0.308
Tunísia,133,0.266
Irã,101,0.202
Austrália,68,0.136
Bósnia e Herzegovina,66,0.132
Catar,32,0.064
Arábia Saudita,17,0.034
África do Sul,13,0.026
Cabo Verde,7,0.013999999999999999
Haiti,1,0.002
Curaçao,1,0.002
Nova Zelândia,1,0.002
França,0,0.0
Senegal,0,0.0
Noruega,0,0.0
Iraque,0,0.0
Argentina,0,0.0
Áustria,0,0.0
Argélia,0,0.0
Jordânia,0,0.0
Portugal,0,0.0
Colômbia,0,0.0
Uzbequistão,0,0.0
Rep. D. do Congo,0,0.0
Inglaterra,0,0.0
Croácia,0,0.0
Panamá,0,0.0
Gana,0,0.0
