selecao,grupo,P_campeao,P_final,P_semis,P_quartas,P_oitavas,P_classifica,P_1o_grupo
Espanha,H,0.15876,0.25156,0.37522,0.49928,0.7086,0.98892,0.73586
Argentina,J,0.14498,0.23278,0.35888,0.51206,0.66166,0.9776,0.71476
França,I,0.10674,0.18456,0.31272,0.48316,0.71668,0.95704,0.60984
Brasil,C,0.09392,0.16798,0.2933,0.46838,0.67868,0.98452,0.61022
Inglaterra,L,0.08308,0.15264,0.27226,0.44838,0.6778,0.97426,0.62712
Portugal,K,0.06706,0.13174,0.2374,0.4122,0.65538,0.92924,0.49934
Colômbia,K,0.04746,0.1004,0.19148,0.34816,0.59476,0.90434,0.40574
Alemanha,E,0.03986,0.08926,0.18982,0.35154,0.6798,0.97674,0.56394
Marrocos,C,0.03872,0.08632,0.17924,0.33462,0.54546,0.9442,0.3242
Países Baixos,F,0.032,0.0707,0.1478,0.28936,0.45976,0.88258,0.46424
Bélgica,G,0.02644,0.0642,0.1389,0.33272,0.60032,0.92854,0.54828
Uruguai,H,0.02072,0.05172,0.11512,0.23154,0.40742,0.901,0.23288
Croácia,L,0.01878,0.04704,0.11204,0.23142,0.47854,0.90626,0.31606
Equador,E,0.0182,0.04688,0.11292,0.24158,0.537,0.92844,0.30732
Japão,F,0.01738,0.0431,0.10064,0.22242,0.39452,0.82494,0.33304
Suíça,B,0.01436,0.04056,0.10416,0.257,0.58904,0.9561,0.53616
México,A,0.0105,0.03012,0.08168,0.20374,0.49838,0.88736,0.48038
Senegal,I,0.00934,0.02848,0.07486,0.18452,0.40088,0.76414,0.1828
Noruega,I,0.0089,0.02524,0.06996,0.178,0.39102,0.75876,0.18838
Canadá,B,0.0078,0.02264,0.06836,0.1964,0.52088,0.9287,0.39276
Áustria,J,0.00512,0.016,0.04808,0.1224,0.27076,0.74566,0.14384
Irã,G,0.00396,0.01404,0.04554,0.14238,0.39128,0.78586,0.24142
Austrália,D,0.00356,0.0119,0.03938,0.12194,0.32704,0.69646,0.24596
Argélia,J,0.0034,0.01132,0.03386,0.10028,0.23456,0.69778,0.12136
Estados Unidos,D,0.00336,0.01284,0.03978,0.13086,0.35164,0.72002,0.29178
Turquia,D,0.00332,0.0123,0.03854,0.12546,0.33762,0.70812,0.27014
Coreia do Sul,A,0.00216,0.00874,0.03504,0.11074,0.34472,0.77028,0.26802
Egito,G,0.00206,0.00842,0.02964,0.10524,0.32258,0.71222,0.18044
Paraguai,D,0.00198,0.0078,0.02632,0.09106,0.26448,0.62138,0.19212
Costa do Marfim,E,0.0018,0.00724,0.02848,0.09732,0.32128,0.7813,0.1259
Suécia,F,0.00088,0.00412,0.0156,0.05636,0.15966,0.50148,0.10932
Tchéquia,A,0.0008,0.0039,0.0172,0.06616,0.25016,0.66416,0.18472
Tunísia,F,0.00076,0.00376,0.01522,0.05572,0.16108,0.49674,0.0934
Escócia,C,0.00072,0.00346,0.01666,0.06268,0.1911,0.6487,0.06104
Uzbequistão,K,0.00048,0.002,0.00946,0.03522,0.12216,0.41374,0.05388
Rep. D. do Congo,K,0.00034,0.00164,0.00716,0.02934,0.10146,0.3675,0.04104
Cabo Verde,H,0.00012,0.00034,0.00174,0.0139,0.05616,0.3175,0.01688
Iraque,I,8e-05,0.00032,0.0018,0.01184,0.05066,0.21122,0.01898
África do Sul,A,6e-05,0.00032,0.0028,0.01722,0.1003,0.39578,0.06688
Bósnia e Herzegovina,B,2e-05,0.00022,0.0015,0.01486,0.10196,0.44406,0.04538
Panamá,L,2e-05,0.00034,0.00232,0.01304,0.0653,0.3657,0.0312
Catar,B,0.0,8e-05,0.0007,0.00648,0.05328,0.30286,0.0257
Haiti,C,0.0,2e-05,0.00012,0.00118,0.00966,0.10558,0.00454
Curaçao,E,0.0,0.0,0.0,0.0003,0.00654,0.06758,0.00284
Arábia Saudita,H,0.0,0.00014,0.00164,0.0119,0.05084,0.30554,0.01438
Nova Zelândia,G,0.0,0.00022,0.00114,0.00816,0.05542,0.25232,0.02986
Jordânia,J,0.0,0.0003,0.00178,0.0101,0.04408,0.2524,0.02004
Gana,L,0.0,0.0003,0.00174,0.01138,0.05764,0.34438,0.02562
